"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Mais de um terço de pacientes internados com Covid-19 apresentam lesões nos rins. Dos que precisam de respirador, q… https://t.co/XW37YnR4Xe",FALSE,447,NA,2020-05-16 03:00:00,TRUE,NA,"1261491561457692674",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",85,FALSE,FALSE,NA,NA
"Navio de cruzeiros atracado em Santos, SP, é liberado de quarentena https://t.co/RX1Bfm0Rnt #G1 https://t.co/TvwyWaylEb",FALSE,283,NA,2020-05-16 02:45:00,FALSE,NA,"1261487786277904385",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",15,FALSE,FALSE,NA,NA
"Supostas citações a Witzel em investigação que prendeu Mário Peixoto são enviadas à PGR https://t.co/YXYmVyrjYO #G1 https://t.co/wRKxFscoI1",FALSE,245,NA,2020-05-16 02:30:00,FALSE,NA,"1261484011576348674",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",29,FALSE,FALSE,NA,NA
"Fernando de Noronha investiga cinco casos suspeitos do coronavírus https://t.co/2edr4ha4F3 #G1 https://t.co/bwiNBGwEzf",FALSE,394,NA,2020-05-16 02:15:00,FALSE,NA,"1261480236589502467",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",13,FALSE,FALSE,NA,NA
"Só em 2020, a empresa recebeu R$ 129 milhões do governo fluminense https://t.co/W4KlupeYmT #G1",FALSE,210,NA,2020-05-16 02:00:00,FALSE,NA,"1261476463783456769",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",21,FALSE,FALSE,NA,NA
"Três médicos e piloto morrem em queda de avião de pequeno porte no Ceará https://t.co/bDnKH1BcNo #G1 https://t.co/NO4xaFC5Oi",FALSE,1358,NA,2020-05-16 01:45:00,FALSE,NA,"1261472686838099968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",88,FALSE,FALSE,NA,NA
"Rio mantém escolas fechadas, adia pagamento de taxas para taxistas e suspende consultas https://t.co/Nyxe27rFSx #G1 https://t.co/c0pdBhAHcJ",FALSE,207,NA,2020-05-16 01:38:00,FALSE,NA,"1261470925137956864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",9,FALSE,FALSE,NA,NA
"Justiça condena pai e filho da máfia capturados em SP; filho deve ser extraditado para a Itália… https://t.co/AIT8JCLvyz",FALSE,274,NA,2020-05-16 01:30:00,TRUE,NA,"1261468912908034048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",19,FALSE,FALSE,NA,NA
"Argentina desenvolve teste rápido para detectar coronavírus https://t.co/n0eBSaxxgD #G1 https://t.co/snL29lXZ65",FALSE,920,NA,2020-05-16 01:22:00,FALSE,NA,"1261466898622894080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",65,FALSE,FALSE,NA,NA
"Parque de animais do Japão reabre para público visitar sem sair do carro; veja VÍDEO https://t.co/drZ01oxUTo #G1 https://t.co/bXdk3IrQRs",FALSE,283,NA,2020-05-16 01:15:00,FALSE,NA,"1261465137296191488",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",9,FALSE,FALSE,NA,NA
"Ministro Celso de Mello manda informar Bolsonaro a respeito de ação no STF sobre impeachment… https://t.co/jIhk4DKOLL",FALSE,5279,NA,2020-05-16 01:08:00,TRUE,NA,"1261463375436972033",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",581,FALSE,FALSE,NA,NA
"Primeiro ministro da Hungria anuncia que estado de emergência terminará no final de maio; Orbán foi acusado de apro… https://t.co/eO7LiRsCbW",FALSE,128,NA,2020-05-16 01:00:00,TRUE,NA,"1261461364117254145",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",4,FALSE,FALSE,NA,NA
"#Exclusivo do @jornalnacional - Mudança no governo põe em xeque versão de Bolsonaro sobre reunião ministerial… https://t.co/NVhLkKw0XP",FALSE,1511,NA,2020-05-16 00:45:11,TRUE,NA,"1261457633292107776",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",221,FALSE,FALSE,NA,NA
"Veja dicas para evitar a dor nas costas, problema de saúde comum durante o isolamento social… https://t.co/V0TKinDKMz",FALSE,340,NA,2020-05-16 00:30:00,TRUE,NA,"1261453812281344000",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",28,FALSE,FALSE,NA,NA
"Mega-sena on-line e outras loterias: saiba como apostar pela internet https://t.co/3k5qh4P7PC #G1 https://t.co/X0XRduwMIa",FALSE,127,NA,2020-05-16 00:15:00,FALSE,NA,"1261450037650808832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",5,FALSE,FALSE,NA,NA
"Marília Mendonça doa R$ 100 mil arrecadados em live para o Hospital Araújo Jorge, em Goiânia… https://t.co/FqK7x9SW14",FALSE,711,NA,2020-05-16 00:00:00,TRUE,NA,"1261446264580792320",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",32,FALSE,FALSE,NA,NA
"Cidade de MS decreta 21 dias de oração e jejum e marca ""cerco espiritual"" contra a covid-19 https://t.co/6nIQ4AbYxd",FALSE,2158,NA,2020-05-15 23:45:00,FALSE,NA,"1261442487857459201",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",237,FALSE,FALSE,NA,NA
"Moradores denunciam disparos contra 6 apartamentos na Santa Cecília, Centro de SP https://t.co/JrhlzOJhhR #G1 https://t.co/xJpi6SALw3",FALSE,232,NA,2020-05-15 23:37:00,FALSE,NA,"1261440474490867713",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",33,FALSE,FALSE,NA,NA
"Facebook compra Giphy e vai integrar plataforma ao Instagram
 https://t.co/uQdgOF8jsO #G1 https://t.co/1pcQ27giCC",FALSE,274,NA,2020-05-15 23:30:00,FALSE,NA,"1261438712833064960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",21,FALSE,FALSE,NA,NA
"⚡️ “Veja o que foi notícia nesta sexta-feira, 15 de maio”

https://t.co/Ge1gOVecTT",FALSE,111,NA,2020-05-15 23:27:55,FALSE,NA,"1261438191116201987",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","g1",6,FALSE,FALSE,NA,NA
"Luan Santana anuncia live no Allianz Parque, sem público, com transmissão na TV Globo, no Multishow e no Globoplay… https://t.co/em94lM1Svt",FALSE,1413,NA,2020-05-15 23:18:13,TRUE,NA,"1261435748676276226",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",69,FALSE,FALSE,NA,NA
"Pandemia impede pais de buscarem bebês de barriga de aluguel na Ucrânia https://t.co/wLXNqIfLyF #G1 https://t.co/GvzKhof405",FALSE,207,NA,2020-05-15 23:15:00,FALSE,NA,"1261434938710081536",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",11,FALSE,FALSE,NA,NA
"Governo muda protocolo sobre cloroquina horas após demissão de ministro; estudos mostram que remédio traz efeitos c… https://t.co/Tbl7Evcf9N",FALSE,2955,NA,2020-05-15 23:04:53,TRUE,NA,"1261432393962909696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",422,FALSE,FALSE,NA,NA
"Prefeitura de SP exonera gestão do CEU Heliópolis e comunidade teme perder espaço destinado à produção de máscaras… https://t.co/KqSldr6NoJ",FALSE,76,NA,2020-05-15 23:00:00,TRUE,NA,"1261431164528586753",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",7,FALSE,FALSE,NA,NA
"'Medalhas são dadas após a guerra, não antes', diz Guedes sobre reajuste a servidores
 https://t.co/Con9Q7hnBL #G1 https://t.co/IJ7m7RqmhS",FALSE,436,NA,2020-05-15 22:50:00,FALSE,NA,"1261428646859829248",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",18,FALSE,FALSE,NA,NA
"Em meio à pandemia, TJ-GO institui auxílio-saúde de R$ 1,2 mil a juízes https://t.co/qz3fY4bkJY #G1 https://t.co/wWWBACO82U",FALSE,539,NA,2020-05-15 22:45:00,FALSE,NA,"1261427388384083969",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",131,FALSE,FALSE,NA,NA
"Cinemas drive-in se multiplicam no Brasil e viram opção no distanciamento social https://t.co/YZ5UHum4rC #G1 https://t.co/mTbnoRBbsr",FALSE,658,NA,2020-05-15 22:30:00,FALSE,NA,"1261423614211080192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",51,FALSE,FALSE,NA,NA
"#AcidenteAéreo - Anac conclui que avião que caiu com Gabriel Diniz fazia táxi aéreo ilegal e autua Aeroclube de AL… https://t.co/Us4vaX5FCF",FALSE,381,NA,2020-05-15 22:15:00,TRUE,NA,"1261419838762881031",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",22,FALSE,FALSE,NA,NA
"RT @fatooufake: É #FAKE que STF decidiu que dinheiro público roubado não precisa ser devolvido passados cinco anos da investigação  https:/…",FALSE,0,NA,2020-05-15 22:11:19,FALSE,NA,"1261418912555716608",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",31,TRUE,FALSE,NA,NA
"Brasil tem 824 novas mortes por Covid-19 confirmadas em 24 horas  https://t.co/N0Go9ItMTK #G1 https://t.co/Q4oIrXOxUW",FALSE,2171,NA,2020-05-15 22:02:33,FALSE,NA,"1261416707861573632",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",400,FALSE,FALSE,NA,NA
"#Contágio - Partículas de saliva liberadas durante a fala podem ficar no ar por 10 minutos, diz estudo; não há resu… https://t.co/JoQ0ekgIri",FALSE,245,NA,2020-05-15 22:00:00,TRUE,NA,"1261416065168531457",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",26,FALSE,FALSE,NA,NA
"#AuxílioEmergencial - veja o calendário de pagamento da 1ª parcela para novos aprovados https://t.co/kK0fopw7og #G1 https://t.co/h9d6ZEkRRf",FALSE,233,NA,2020-05-15 21:49:36,FALSE,NA,"1261413448379924481",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",30,FALSE,FALSE,NA,NA
"Veja aplicativos de órgãos públicos relacionados a serviços contra pandemia do coronavírus https://t.co/GxogXzp3r7… https://t.co/APoKKIMtET",FALSE,91,NA,2020-05-15 21:45:00,TRUE,NA,"1261412288939974656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",7,FALSE,FALSE,NA,NA
"Pico de Covid-19 no Haiti pode coincidir com furacões https://t.co/a33l9DWKHd #G1 https://t.co/AqpWixePS1",FALSE,307,NA,2020-05-15 21:30:00,FALSE,NA,"1261408514225737728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",22,FALSE,FALSE,NA,NA
"#ComplexoDoAlemão - Operação deixa 10 mortos e PM ferido https://t.co/sAP9mDhlUO #G1 https://t.co/YMmw6snNj2",FALSE,286,NA,2020-05-15 21:18:04,FALSE,NA,"1261405513146925056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",29,FALSE,FALSE,NA,NA
"Eslovênia é primeiro país da Europa a declarar fim da epidemia de coronavírus
 https://t.co/prR0bM8kPx #G1 https://t.co/gcICkpLhQw",FALSE,3458,NA,2020-05-15 21:15:00,FALSE,NA,"1261404738987462656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",250,FALSE,FALSE,NA,NA
"RT @fatooufake: É #FAKE que Witzel mandou recolher remédio em teste contra Covid-19 de farmácias do RJ https://t.co/VbqgIDTL40 #FatoOuFake…",FALSE,0,NA,2020-05-15 21:07:55,FALSE,NA,"1261402958815625216",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",23,TRUE,FALSE,NA,NA
"Minas Gerais é o estado com a 2ª menor taxa de testes para coronavírus por habitante no Brasil… https://t.co/KH0lbkWTOW",FALSE,903,NA,2020-05-15 21:03:00,TRUE,NA,"1261401719402934272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",80,FALSE,FALSE,NA,NA
"RT @fatooufake: É #FAKE que rede de hipermercados tenha fechado lojas no Rio por conta da crise do coronavírus https://t.co/FEdFNc6VdT #Fat…",FALSE,0,NA,2020-05-15 21:01:49,FALSE,NA,"1261401423771652096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",16,TRUE,FALSE,NA,NA
"A história da diarista Maria Alves, 58, ilustra a dificuldade de milhões de brasileiros que estão em busca do auxíl… https://t.co/IeSpmBKeBs",FALSE,507,NA,2020-05-15 20:45:00,TRUE,NA,"1261397189445718017",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",67,FALSE,FALSE,NA,NA
"Como o estresse da pandemia da Covid-19 tem se refletido nos sonhos dos profissionais de saúde no Brasil… https://t.co/HNqmjchBGw",FALSE,196,NA,2020-05-15 20:30:00,TRUE,NA,"1261393414416994305",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",17,FALSE,FALSE,NA,NA
"Bovespa cai após saída de Teich e fecha mais uma semana em baixa https://t.co/plWauM8YqH #G1 https://t.co/08kctKdCqz",FALSE,397,NA,2020-05-15 20:25:00,FALSE,NA,"1261392156217892865",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",37,FALSE,FALSE,NA,NA
"Dólar termina a semana em alta, a R$ 5,83 https://t.co/RaRm7aI96I #G1 https://t.co/3qqAycMJEb",FALSE,267,NA,2020-05-15 20:19:21,FALSE,NA,"1261390735804256257",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",27,FALSE,FALSE,NA,NA
"Gêmeos de 2 anos morrem em incêndio dentro de casa no ES e mãe é detida https://t.co/9hu9CEXgvD #G1 https://t.co/u6op3cK5Mn",FALSE,311,NA,2020-05-15 20:15:00,FALSE,NA,"1261389639618830340",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",6,FALSE,FALSE,NA,NA
"#ReuniãoMinisterial - Celso de Mello assistirá na segunda-feira ao vídeo de reunião citada por Moro como prova de t… https://t.co/QthMvWc8Ix",FALSE,526,NA,2020-05-15 20:09:49,TRUE,NA,"1261388334934315008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","g1",40,FALSE,FALSE,NA,NA
